dep_struct,%of_total,count
prep_nsubj_V_prt_xcomp,0.00011027114449195634,9
V_dobj_prt_prep_prep,0.00011027114449195634,9
nsubj_V_ccomp_xcomp,0.00011027114449195634,9
ccomp_V_dobj_prep,0.00011027114449195634,9
prep_nsubj_V_prep_ccomp,0.00011027114449195634,9
nsubj_V_dative_dobj_xcomp,0.00011027114449195634,9
prep_prep_nsubj_V_ccomp,0.00011027114449195634,9
dobj_V_dobj,9.801879510396118e-05,8
dobj_V_xcomp,9.801879510396118e-05,8
nsubj_prep_V_xcomp,9.801879510396118e-05,8
prep_nsubj_V_prt_ccomp,9.801879510396118e-05,8
nsubj_V_dobj_dobj_prep,9.801879510396118e-05,8
V_xcomp_ccomp,9.801879510396118e-05,8
ccomp_nsubj_V_dobj_prt,9.801879510396118e-05,8
nsubj_prep_V_prep,8.576644571596604e-05,7
ccomp_nsubj_V_ccomp_ccomp,8.576644571596604e-05,7
prep_nsubj_V_prt_dobj,8.576644571596604e-05,7
V_dative_prep,8.576644571596604e-05,7
nsubj_V_dobj_prep_xcomp,8.576644571596604e-05,7
ccomp_nsubj_V_prep_prep,8.576644571596604e-05,7
V_dative_ccomp,8.576644571596604e-05,7
V_ccomp_dobj,7.351409632797088e-05,6
ccomp_nsubj_V_prt,7.351409632797088e-05,6
V_xcomp_xcomp,7.351409632797088e-05,6
V_dobj_prep_xcomp,7.351409632797088e-05,6
V_prep_pobj,7.351409632797088e-05,6
ccomp_V_xcomp,7.351409632797088e-05,6
ccomp_prep_nsubj_V_dobj,7.351409632797088e-05,6
dobj_V_nsubj,7.351409632797088e-05,6
V_xcomp_dobj,7.351409632797088e-05,6
dobj_nsubj_V_prt,7.351409632797088e-05,6
nsubj_V_prt_dobj_prep_prep,7.351409632797088e-05,6
dobj_nsubj_V_dative,6.126174693997574e-05,5
nsubj_V_dobj_prep_dobj,6.126174693997574e-05,5
nsubj_V_dative_ccomp,6.126174693997574e-05,5
nsubj_V_ccomp_ccomp_ccomp,6.126174693997574e-05,5
nsubj_V_dobj_prep_prep_prep,6.126174693997574e-05,5
V_dobj_prep_ccomp,6.126174693997574e-05,5
prep_nsubj_V_ccomp_ccomp,6.126174693997574e-05,5
nsubj_V_prt_prep_prep_prep,6.126174693997574e-05,5
ccomp_ccomp_nsubj_V_prep,6.126174693997574e-05,5
ccomp_prep_nsubj_V_prep,4.900939755198059e-05,4
V_dobj_dobj_dobj,4.900939755198059e-05,4
dobj_dobj_nsubj_V,4.900939755198059e-05,4
V_dobj_ccomp_ccomp,4.900939755198059e-05,4
dative_nsubj_V_dobj_prep,4.900939755198059e-05,4
nsubj_V_xcomp_dobj,4.900939755198059e-05,4
ccomp_prep_nsubj_V_ccomp,4.900939755198059e-05,4
V_dobj_prt_ccomp,4.900939755198059e-05,4
nsubj_V_dative_prep,4.900939755198059e-05,4
V_nsubj_ccomp,4.900939755198059e-05,4
